preqc_genome_name,postqc_genome_name,sample_or_strain_name,genome_status,checkm2_postqc_Completeness,checkm2_postqc_Contamination,checkm2_postqc_Genome_Size,checkm2_preqc_Completeness,checkm2_preqc_Contamination,checkm2_preqc_Genome_Size,gtdbtk_classification,gtdbtk_closest_genome_reference,gunc_postqc_n_contigs,gunc_postqc_pass.GUNC,gunc_preqc_n_contigs,gunc_preqc_pass.GUNC
SRR30598619_bin.51.orig.fa,cleaned_SRR30598619_bin.51.orig_filtered_kept_contigs.fa,SRR30598619,MAG,94.66,0.18,1943244,96.44,0.14,2035351,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens_B,GCF_958453765.1,225,TRUE,241,TRUE
SRR30598619_bin.52.strict.fa,cleaned_SRR30598619_bin.52.strict_filtered_kept_contigs.fa,SRR30598619,MAG,98.58,0.33,2293586,98.73,0.37,2315222,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Senegalimassilia;s__Senegalimassilia sp003474385,GCF_003474385.1,40,TRUE,66,FALSE
SRR30598619_bin.55.orig.fa,cleaned_SRR30598619_bin.55.orig_filtered_kept_contigs.fa,SRR30598619,MAG,91.96,1.16,2806920,98.2,1.15,2815291,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp000431375,GCF_003473545.1,291,TRUE,293,TRUE
SRR30598619_bin.8.orig.fa,cleaned_SRR30598619_bin.8.orig_filtered_kept_contigs.fa,SRR30598619,MAG,95.18,0.32,1706839,96.46,0.39,1757439,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp900542875,GCF_900542875.1,183,TRUE,191,TRUE
SRR30598621_bin.10.strict.fa,cleaned_SRR30598621_bin.10.strict_filtered_kept_contigs.fa,SRR30598621,MAG,90.43,0.32,2267066,93.93,1.08,2594019,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella biformis,GCF_000156655.1,219,TRUE,303,FALSE
SRR30598621_bin.15.permissive.fa,cleaned_SRR30598621_bin.15.permissive_filtered_kept_contigs.fa,SRR30598621,MAG,100,1.77,2960426,100,1.7,2970227,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis,GCF_000205025.1,93,TRUE,106,TRUE
SRR30598621_bin.16.permissive.fa,cleaned_SRR30598621_bin.16.permissive_filtered_kept_contigs.fa,SRR30598621,MAG,99.99,1.74,2474854,99.99,1.73,2497200,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum,GCF_000196555.1,65,TRUE,86,TRUE
SRR30598621_bin.2.strict.fa,cleaned_SRR30598621_bin.2.strict_filtered_kept_contigs.fa,SRR30598621,MAG,94.59,0.29,3227190,94.79,0.31,3280161,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__,,143,TRUE,207,TRUE
SRR30598621_bin.20.strict.fa,cleaned_SRR30598621_bin.20.strict_filtered_kept_contigs.fa,SRR30598621,MAG,97.05,0.24,1553363,96.8,0.24,1564377,d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Anaeroglobus;s__Anaeroglobus micronuciformis,GCF_000165735.1,71,TRUE,79,TRUE
SRR30598621_bin.22.orig.fa,cleaned_SRR30598621_bin.22.orig_filtered_kept_contigs.fa,SRR30598621,MAG,99.99,0.42,2447383,99.99,0.41,2467128,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,GCF_000154465.1,35,TRUE,36,TRUE
SRR30598621_bin.25.strict.fa,cleaned_SRR30598621_bin.25.strict_filtered_kept_contigs.fa,SRR30598621,MAG,99.54,0.17,1860803,99.54,0.19,1868633,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335,GCA_025757685.1,23,TRUE,31,TRUE
SRR30598621_bin.26.orig.fa,cleaned_SRR30598621_bin.26.orig_filtered_kept_contigs.fa,SRR30598621,MAG,99.4,0.3,4293256,99.75,0.33,4315567,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis,GCF_025147485.1,64,TRUE,65,TRUE
SRR30598621_bin.27.strict.fa,cleaned_SRR30598621_bin.27.strict_filtered_kept_contigs.fa,SRR30598621,MAG,100,0.25,5437087,100,0.3,5485263,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei,GCF_013009555.1,62,TRUE,124,TRUE
SRR30598621_bin.3.orig.fa,cleaned_SRR30598621_bin.3.orig_filtered_kept_contigs.fa,SRR30598621,MAG,99.74,0.35,2339979,100,0.34,2392289,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens,GCF_000188175.1,38,TRUE,39,TRUE
SRR30598621_bin.31.permissive.fa,cleaned_SRR30598621_bin.31.permissive_filtered_kept_contigs.fa,SRR30598621,MAG,96.15,4.4,4070449,96.53,4.5,4154768,d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia,GCF_000701705.1,443,TRUE,477,TRUE
SRR30598621_bin.32.orig.fa,cleaned_SRR30598621_bin.32.orig_filtered_kept_contigs.fa,SRR30598621,MAG,91.03,0.01,1885371,90.87,0.01,1916824,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__Lentihominibacter faecis,GCF_014306095.1,144,TRUE,148,TRUE
SRR30598621_bin.34.orig.fa,cleaned_SRR30598621_bin.34.orig_filtered_kept_contigs.fa,SRR30598621,MAG,92.66,1.23,3481031,93.32,1.47,3523338,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus,GCF_000190535.1,396,TRUE,402,TRUE
SRR30598621_bin.36.permissive.fa,cleaned_SRR30598621_bin.36.permissive_filtered_kept_contigs.fa,SRR30598621,MAG,94.77,0.94,2694116,95.85,2.52,2729464,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella seckii_A,GCF_009183815.1,167,TRUE,199,TRUE
SRR30598621_bin.38.orig.fa,cleaned_SRR30598621_bin.38.orig_filtered_kept_contigs.fa,SRR30598621,MAG,100,0.36,3370964,100,0.41,3413173,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta,GCF_000024265.1,105,TRUE,114,TRUE
SRR30598621_bin.39.orig.fa,cleaned_SRR30598621_bin.39.orig_filtered_kept_contigs.fa,SRR30598621,MAG,98.45,1.08,2037520,100,1.25,2244424,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium mitsuokai,GCA_964259225.1,113,TRUE,126,TRUE
SRR30598621_bin.4.orig.fa,cleaned_SRR30598621_bin.4.orig_filtered_kept_contigs.fa,SRR30598621,MAG,99.92,1.11,2776369,99.92,1.11,2776369,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A indistinctus,GCF_025144995.1,55,TRUE,55,TRUE
SRR30598621_bin.42.permissive.fa,cleaned_SRR30598621_bin.42.permissive_filtered_kept_contigs.fa,SRR30598621,MAG,99.99,0.63,2397442,99.99,0.89,2504299,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,,35,TRUE,105,TRUE
SRR30598621_bin.44.orig.fa,cleaned_SRR30598621_bin.44.orig_filtered_kept_contigs.fa,SRR30598621,MAG,90.72,0.6,2120667,90.72,0.6,2120667,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900552475,GCA_900552475.1,87,TRUE,87,TRUE
SRR30598621_bin.8.permissive.fa,cleaned_SRR30598621_bin.8.permissive_filtered_kept_contigs.fa,SRR30598621,MAG,93.17,0.44,2779271,93.32,0.48,2814421,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii,GCF_000265365.1,84,TRUE,132,FALSE
SRR30598622_bin.12.orig.fa,cleaned_SRR30598622_bin.12.orig_filtered_kept_contigs.fa,SRR30598622,MAG,99.99,1.8,6163066,100,2,6231282,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,GCF_001314995.1,101,TRUE,105,TRUE
SRR30598622_bin.13.orig.fa,cleaned_SRR30598622_bin.13.orig_filtered_kept_contigs.fa,SRR30598622,MAG,99.7,0.74,1936524,99.87,0.96,1945132,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus oris,GCF_001434465.1,104,TRUE,106,TRUE
SRR30598622_bin.15.orig.fa,cleaned_SRR30598622_bin.15.orig_filtered_kept_contigs.fa,SRR30598622,MAG,91.76,0.6,2292300,91.86,0.56,2327281,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_H,GCF_901212495.1,98,TRUE,100,TRUE
SRR30598622_bin.18.orig.fa,cleaned_SRR30598622_bin.18.orig_filtered_kept_contigs.fa,SRR30598622,MAG,99.91,0.58,2347216,99.91,0.58,2347216,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Senegalimassilia;s__Senegalimassilia sp003474385,GCF_003474385.1,27,TRUE,27,TRUE
SRR30598622_bin.19.strict.fa,cleaned_SRR30598622_bin.19.strict_filtered_kept_contigs.fa,SRR30598622,MAG,100,0.21,2793475,100,0.29,3029447,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila,GCF_000020225.1,34,TRUE,108,FALSE
SRR30598622_bin.20.orig.fa,cleaned_SRR30598622_bin.20.orig_filtered_kept_contigs.fa,SRR30598622,MAG,99.65,1.84,3435384,96.92,1.97,3487868,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900541315,GCA_025758065.1,137,TRUE,139,TRUE
SRR30598622_bin.21.orig.fa,cleaned_SRR30598622_bin.21.orig_filtered_kept_contigs.fa,SRR30598622,MAG,94.53,0.02,2265572,94.53,0.02,2265572,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum,GCF_000196555.1,41,TRUE,41,TRUE
SRR30598622_bin.25.orig.fa,cleaned_SRR30598622_bin.25.orig_filtered_kept_contigs.fa,SRR30598622,MAG,99.99,0.1,3419130,99.99,0.1,3474468,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus,GCF_008121495.1,70,TRUE,74,FALSE
SRR30598622_bin.26.orig.fa,cleaned_SRR30598622_bin.26.orig_filtered_kept_contigs.fa,SRR30598622,MAG,95.04,0.77,2384657,96.7,0.98,2495655,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus faecis,GCF_003024675.1,78,TRUE,92,TRUE
SRR30598622_bin.27.orig.fa,cleaned_SRR30598622_bin.27.orig_filtered_kept_contigs.fa,SRR30598622,MAG,90.43,0.86,2760432,90.43,0.86,2760432,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans,GCF_027667425.1,188,TRUE,188,TRUE
SRR30598622_bin.28.orig.fa,cleaned_SRR30598622_bin.28.orig_filtered_kept_contigs.fa,SRR30598622,MAG,99.14,1.13,2726208,99.14,1.32,2740290,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pilosibacter;s__Pilosibacter sp902496665,GCA_902496665.1,141,TRUE,143,TRUE
SRR30598622_bin.30.orig.fa,cleaned_SRR30598622_bin.30.orig_filtered_kept_contigs.fa,SRR30598622,MAG,98.16,2,3785827,98.43,2.14,3833942,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ;s__Clostridium_AQ innocuum,GCA_012317185.1,180,TRUE,185,TRUE
SRR30598622_bin.4.strict.fa,cleaned_SRR30598622_bin.4.strict_filtered_kept_contigs.fa,SRR30598622,MAG,90.09,2.12,1717635,91.32,3.51,1790521,d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_E,GCF_036456085.1,134,TRUE,171,TRUE
SRR30598622_bin.6.orig.fa,cleaned_SRR30598622_bin.6.orig_filtered_kept_contigs.fa,SRR30598622,MAG,91.74,0.87,2489741,91.8,0.76,2505210,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens,GCF_003096535.1,129,TRUE,132,TRUE
SRR30598622_bin.9.orig.fa,cleaned_SRR30598622_bin.9.orig_filtered_kept_contigs.fa,SRR30598622,MAG,99.99,0.2,3270440,99.99,0.15,3346442,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta,GCF_000024265.1,164,TRUE,171,FALSE
SRR30598625_bin.10.orig.fa,cleaned_SRR30598625_bin.10.orig_filtered_kept_contigs.fa,SRR30598625,MAG,96.68,0,2741769,96.68,0,2741769,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans,GCF_027667425.1,375,TRUE,375,TRUE
SRR30598625_bin.13.strict.fa,cleaned_SRR30598625_bin.13.strict_filtered_kept_contigs.fa,SRR30598625,MAG,99.8,0.48,1890567,99.96,0.45,1970558,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus ruminis,GCF_900113455.1,110,TRUE,139,TRUE
SRR30598625_bin.14.orig.fa,cleaned_SRR30598625_bin.14.orig_filtered_kept_contigs.fa,SRR30598625,MAG,98.41,3.91,5536380,99.7,3.93,5639978,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,GCF_000011065.1,217,TRUE,226,TRUE
SRR30598625_bin.18.orig.fa,cleaned_SRR30598625_bin.18.orig_filtered_kept_contigs.fa,SRR30598625,MAG,99.95,0.58,2205898,99.93,0.72,2208601,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve,GCF_001025175.1,62,TRUE,64,TRUE
SRR30598625_bin.19.strict.fa,cleaned_SRR30598625_bin.19.strict_filtered_kept_contigs.fa,SRR30598625,MAG,99.96,0.27,1605932,99.98,1.35,1609917,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc lactis,GCF_014651235.1,20,TRUE,25,TRUE
SRR30598625_bin.20.orig.fa,cleaned_SRR30598625_bin.20.orig_filtered_kept_contigs.fa,SRR30598625,MAG,92.8,0.04,4167029,93.04,0.04,4204411,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,GCF_003697165.2,154,TRUE,155,TRUE
SRR30598625_bin.21.orig.fa,cleaned_SRR30598625_bin.21.orig_filtered_kept_contigs.fa,SRR30598625,MAG,97.53,0.45,2494315,99.29,0.43,2502804,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis,GCA_004000625.1,209,TRUE,212,TRUE
SRR30598625_bin.22.orig.fa,cleaned_SRR30598625_bin.22.orig_filtered_kept_contigs.fa,SRR30598625,MAG,96.94,2.27,2967827,96.94,2.25,2991262,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis,GCF_003315195.1,70,TRUE,73,TRUE
SRR30598625_bin.5.permissive.fa,cleaned_SRR30598625_bin.5.permissive_filtered_kept_contigs.fa,SRR30598625,MAG,97.83,0.83,2493262,97.4,0.92,2539546,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_H,GCF_901212495.1,43,TRUE,91,FALSE
SRR30598625_bin.9.orig.fa,cleaned_SRR30598625_bin.9.orig_filtered_kept_contigs.fa,SRR30598625,MAG,99.95,0.05,1930450,99.97,0.18,1981856,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus salivarius,GCF_001435955.1,49,TRUE,59,FALSE
SRR30598626_bin.1.strict.fa,cleaned_SRR30598626_bin.1.strict_filtered_kept_contigs.fa,SRR30598626,MAG,91.63,2.62,2674277,92.88,2.73,2746089,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii,GCF_025145845.1,98,TRUE,133,FALSE
SRR30598626_bin.10.orig.fa,cleaned_SRR30598626_bin.10.orig_filtered_kept_contigs.fa,SRR30598626,MAG,98.69,0.16,2341449,98.49,0.16,2357579,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia intestinalis,GCF_040096185.1,66,TRUE,68,TRUE
SRR30598626_bin.12.orig.fa,cleaned_SRR30598626_bin.12.orig_filtered_kept_contigs.fa,SRR30598626,MAG,93.04,0.23,4415673,93.03,0.34,4428340,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis,GCF_000012845.1,161,TRUE,164,TRUE
SRR30598626_bin.13.permissive.fa,cleaned_SRR30598626_bin.13.permissive_filtered_kept_contigs.fa,SRR30598626,MAG,93.7,1.75,2081819,93.85,1.77,2109895,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS911;s__UMGS911 sp900545935,GCA_900545935.1,134,TRUE,166,TRUE
SRR30598626_bin.15.orig.fa,cleaned_SRR30598626_bin.15.orig_filtered_kept_contigs.fa,SRR30598626,MAG,96.59,0.7,4831862,96.59,0.7,4831862,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides hominis,GCF_040094755.1,71,TRUE,71,TRUE
SRR30598626_bin.18.orig.fa,cleaned_SRR30598626_bin.18.orig_filtered_kept_contigs.fa,SRR30598626,MAG,99.79,1.9,3261562,99.79,1.9,3261562,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp000431375,GCF_003473545.1,114,TRUE,114,TRUE
SRR30598626_bin.20.strict.fa,cleaned_SRR30598626_bin.20.strict_filtered_kept_contigs.fa,SRR30598626,MAG,98.38,0.59,2180581,98.65,2.6,2265639,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella sp900556915,GCF_024460475.1,88,TRUE,116,TRUE
SRR30598626_bin.22.orig.fa,cleaned_SRR30598626_bin.22.orig_filtered_kept_contigs.fa,SRR30598626,MAG,99.1,0.09,2235979,99.07,0.11,2258528,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Pseudobutyricicoccus;s__Pseudobutyricicoccus sp003477405,GCA_003477405.1,169,TRUE,171,TRUE
SRR30598626_bin.25.orig.fa,cleaned_SRR30598626_bin.25.orig_filtered_kept_contigs.fa,SRR30598626,MAG,98.62,1.09,4186844,98.34,1.53,4528377,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae,GCF_025151215.1,87,TRUE,112,FALSE
SRR30598626_bin.27.strict.fa,cleaned_SRR30598626_bin.27.strict_filtered_kept_contigs.fa,SRR30598626,MAG,99.89,0.29,2605544,99.92,0.43,2628098,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000436475,GCA_000436475.1,235,TRUE,261,TRUE
SRR30598626_bin.29.orig.fa,cleaned_SRR30598626_bin.29.orig_filtered_kept_contigs.fa,SRR30598626,MAG,99.9,0.03,2181444,99.9,0.03,2181444,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A somerae,GCF_000372405.1,45,TRUE,45,TRUE
SRR30598626_bin.31.strict.fa,cleaned_SRR30598626_bin.31.strict_filtered_kept_contigs.fa,SRR30598626,MAG,96.68,0.2,2039473,96.68,1.16,2068893,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia sp004556345,GCA_004556345.1,59,TRUE,101,TRUE
SRR30598626_bin.32.strict.fa,cleaned_SRR30598626_bin.32.strict_filtered_kept_contigs.fa,SRR30598626,MAG,94.3,0.8,2271419,94.3,0.73,2301757,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,,31,TRUE,70,TRUE
SRR30598626_bin.34.orig.fa,cleaned_SRR30598626_bin.34.orig_filtered_kept_contigs.fa,SRR30598626,MAG,100,0.34,2338231,100,0.36,2411287,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens_B,GCF_958453765.1,49,TRUE,53,TRUE
SRR30598626_bin.36.strict.fa,cleaned_SRR30598626_bin.36.strict_filtered_kept_contigs.fa,SRR30598626,MAG,98.49,0.05,1771930,99.98,0.03,1847692,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia turicensis_B,GCF_002847545.1,19,TRUE,27,TRUE
