"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY-6565: superpathway of polyamine biosynthesis III"	"sick"	"SM"	"sickSM"	-2.03866120716182	0.575662398280218	0.807452452247216	0.0033826340816705	0.0158227160004456	0.00675382595001052	0.0199151464610793	NA	"abundance"	37	28
"PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)"	"sick"	"SM"	"sickSM"	2.6586683129078	0.575662398280218	0.659471336398785	0.00351372528315685	0.0162224589371722	0.00351372528315685	0.0118295417866281	NA	"abundance"	37	36
"PWY3O-4107: NAD salvage pathway V (PNC V cycle)"	"sick"	"SM"	"sickSM"	2.6502557674434	0.575662398280218	0.657728775540485	0.00349581724532455	0.0162224589371722	0.00349581724532455	0.0118295417866281	NA	"abundance"	37	37
"PWY-5180: toluene degradation I (aerobic) (via o-cresol)"	"sick"	"SM"	"sickSM"	3.13339693486057	0.575662398280218	0.804324701873142	0.00358116683431287	0.0164271588335255	0.00714950891273055	0.0206314400053081	NA	"abundance"	37	32
"CENTFERM-PWY: pyruvate fermentation to butanoate"	"sick"	"SM"	"sickSM"	-1.48519935928653	0.575662398280218	0.65235334490228	0.00360905415073987	0.0164489583408721	0.00720508302961676	0.020673675738389	NA	"abundance"	37	35
"PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation"	"sick"	"SM"	"sickSM"	-1.45437941463037	0.575662398280218	0.644280519524055	0.00368109148985651	0.0166704206961018	0.00734863254515633	0.0208486485129435	NA	"abundance"	37	35
"PWY-6895: superpathway of thiamine diphosphate biosynthesis II"	"sick"	"SM"	"sickSM"	-0.241071572242956	0.575662398280218	0.248938126839147	0.00371276610794968	0.0167074474857736	0.00371276610794968	0.0123351768718065	NA	"abundance"	37	37
"GLUCARDEG-PWY: D-glucarate degradation I"	"sick"	"SM"	"sickSM"	2.82928918165382	0.575662398280218	0.726870784826254	0.00398182066840103	0.0177242175701098	0.00398182066840103	0.0130794087316645	NA	"abundance"	37	37
"PWY0-42: 2-methylcitrate cycle I"	"sick"	"SM"	"sickSM"	3.07643948041432	0.575662398280218	0.80611051802499	0.0039885721676759	0.0177242175701098	0.0039885721676759	0.0130794087316645	NA	"abundance"	37	36
"PWY0-461: L-lysine degradation I"	"sick"	"SM"	"sickSM"	3.54208675964712	0.575662398280218	0.951174602802552	0.0041111732050858	0.0181555537193541	0.0041111732050858	0.0133944675391505	NA	"abundance"	37	32
"PWY-5918: superpathway of heme b biosynthesis from glutamate"	"sick"	"SM"	"sickSM"	2.46569563628933	0.575662398280218	0.611842773404143	0.00425552369120286	0.0186770206447236	0.00425552369120286	0.0137758940003682	NA	"abundance"	37	37
"PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage"	"sick"	"SM"	"sickSM"	-2.35331838776173	0.575662398280218	0.900335373690447	0.00431213986706147	0.0188093953710473	0.00431213986706147	0.013870258808064	NA	"abundance"	37	21
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol"	"sick"	"SM"	"sickSM"	-1.51921193311765	0.575662398280218	0.685336863566982	0.00456031256964939	0.0197706233964678	0.00456031256964939	0.0145756825802085	NA	"abundance"	37	36
"PWY-5747: 2-methylcitrate cycle II"	"sick"	"SM"	"sickSM"	2.76512867614189	0.575662398280218	0.71611800663544	0.0046547082196482	0.0200110877073187	0.0046547082196482	0.0147462155635068	NA	"abundance"	37	35
"PWY-7118: chitin deacetylation"	"sick"	"SM"	"sickSM"	2.85481218769998	0.575662398280218	0.748222759820434	0.00467206829734867	0.0200110877073187	0.00467206829734867	0.0147462155635068	NA	"abundance"	37	36
"P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)"	"sick"	"SM"	"sickSM"	-1.25904763233059	0.575662398280218	0.601792993890868	0.00477707321429111	0.0203383176967723	0.00477707321429111	0.0149839874112858	NA	"abundance"	37	36
"GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation"	"sick"	"SM"	"sickSM"	2.68010013452417	0.575662398280218	0.693117307383137	0.00488925288066477	0.0206920166556706	0.00488925288066477	0.0152411895354056	NA	"abundance"	37	36
"PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III"	"sick"	"SM"	"sickSM"	2.94086919446187	0.575662398280218	0.784517800588256	0.00515098097953492	0.0216706951269191	0.0102754293540183	0.0278983431385981	NA	"abundance"	37	35
"PWY-7688: dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis"	"sick"	"SM"	"sickSM"	-1.75498888009735	0.575662398280218	0.774377097090681	0.00532736606230166	0.0222402739887669	0.0106263512954416	0.0286968310384919	NA	"abundance"	37	34
"PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle)"	"sick"	"SM"	"sickSM"	2.43339554986441	0.575662398280218	0.619745834135726	0.00534892665552622	0.0222402739887669	0.00534892665552622	0.016571827981845	NA	"abundance"	37	37
"PWY-7873: D-erythronate degradation II"	"sick"	"SM"	"sickSM"	2.62335020040972	0	0.946698337420741	0.00558755247239393	0.0230973826039075	0.0111438842021561	0.0299343697983448	NA	"prevalence"	37	30
"COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I"	"sick"	"SM"	"sickSM"	-0.137590119101486	0.575662398280218	0.225964201149542	0.00566373426642963	0.023276965684575	0.00566373426642963	0.0174401573447986	NA	"abundance"	37	37
"HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate"	"sick"	"SM"	"sickSM"	3.19783670685961	0.575662398280218	0.890590048479289	0.00606729379019078	0.024779853401693	0.00606729379019078	0.0184434468141743	NA	"abundance"	37	35
"PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate"	"sick"	"SM"	"sickSM"	3.19783670685961	0.575662398280218	0.890590048479289	0.00609912003557844	0.024779853401693	0.00609912003557844	0.0184434468141743	NA	"abundance"	37	35
"PWY-6328: L-lysine degradation X"	"sick"	"SM"	"sickSM"	3.34048938363689	0.575662398280218	0.937963550713282	0.00622088042169233	0.0251309430671775	0.00622088042169233	0.0186996703152061	NA	"abundance"	37	33
"PWY0-1221: putrescine degradation II"	"sick"	"SM"	"sickSM"	3.41083398214875	0.575662398280218	0.965730246265241	0.00637843711794095	0.0256218575754577	0.00637843711794095	0.0190598268908886	NA	"abundance"	37	33
"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)"	"sick"	"SM"	"sickSM"	0.139153013848474	0.575662398280218	0.126319717199077	0.00679162566351021	0.0266524073566765	0.00679162566351021	0.0199151464610793	NA	"abundance"	37	37
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate"	"sick"	"SM"	"sickSM"	1.81040404148819	0.575662398280218	0.421279071032889	0.00682241651042914	0.0266524073566765	0.00682241651042914	0.0199151464610793	NA	"abundance"	37	37
"PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)"	"sick"	"SM"	"sickSM"	-1.08929207549069	0.575662398280218	0.571871423427024	0.00680583487966624	0.0266524073566765	0.00680583487966624	0.0199151464610793	NA	"abundance"	37	37
"PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II"	"sick"	"SM"	"sickSM"	2.85077280588091	0.575662398280218	0.781887319699906	0.00671370187079967	0.0266524073566765	0.0133823299487894	0.0348354465161785	NA	"abundance"	37	35
"PWY66-399: gluconeogenesis III"	"sick"	"SM"	"sickSM"	-1.31198113812941	0.575662398280218	0.648192377062918	0.00669389202549364	0.0266524073566765	0.0133429758605383	0.0348354465161785	NA	"abundance"	37	36
"OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)"	"sick"	"SM"	"sickSM"	-0.0466132378454517	0.575662398280218	0.200603651599129	0.00698182175378248	0.0271260943548598	0.00698182175378248	0.0202633332509204	NA	"abundance"	37	37
"PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)"	"sick"	"SM"	"sickSM"	2.16216906173085	0.575662398280218	0.551627459182526	0.00733222767317943	0.0283326841066879	0.00733222767317943	0.0208486485129435	NA	"abundance"	37	37
"DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II"	"sick"	"SM"	"sickSM"	2.55875661499784	0.575662398280218	0.69458316819717	0.00769281610263461	0.0295653635079633	0.0153264527856803	0.0386992932838427	NA	"abundance"	37	35
"PWY-5505: L-glutamate and L-glutamine biosynthesis"	"sick"	"SM"	"sickSM"	-1.57669809715172	0.575662398280218	0.760781532026322	0.0080239981500414	0.0306723800251583	0.0080239981500414	0.0226375366802844	NA	"abundance"	37	37
"PPGPPMET-PWY: ppGpp metabolism"	"sick"	"SM"	"sickSM"	-0.84898329896985	0.575662398280218	0.50179519141965	0.00828075513590099	0.0313171111788596	0.00828075513590099	0.0232321185757222	NA	"abundance"	37	37
"PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis"	"sick"	"SM"	"sickSM"	-1.34989780615468	0.575662398280218	0.658715245891464	0.00824074523390383	0.0313171111788596	0.0164135805857976	0.0410339514644939	NA	"abundance"	37	24
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I"	"sick"	"SM"	"sickSM"	0.115730116793614	0.575662398280218	0.14314272607551	0.00894168771335813	0.0336377775883472	0.00894168771335813	0.0249478027361649	NA	"abundance"	37	37
"TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA"	"sick"	"SM"	"sickSM"	2.55217366476845	0.575662398280218	0.71250746665984	0.00940817254019422	0.0352063719793584	0.0187278313698424	0.0461344138622946	NA	"abundance"	37	35
"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)"	"sick"	"SM"	"sickSM"	3.55445885749963	0.575662398280218	1.066065397012	0.009837167374109	0.0364282604322474	0.009837167374109	0.027146281551503	NA	"abundance"	37	28
"RHAMCAT-PWY: L-rhamnose degradation I"	"sick"	"SM"	"sickSM"	0.0336545222486819	0.575662398280218	0.180886458688189	0.00980502694363494	0.0364282604322474	0.00980502694363494	0.027146281551503	NA	"abundance"	37	37
"PWY-4041: &gamma;-glutamyl cycle"	"sick"	"SM"	"sickSM"	1.48403196870607	0.575662398280218	0.322425866675069	0.0100340786957793	0.0369649220347104	0.0100340786957793	0.027539183377003	NA	"abundance"	37	37
"PWY-7356: thiamine diphosphate salvage IV (yeast)"	"sick"	"SM"	"sickSM"	-1.45784521472615	0.575662398280218	0.741861466655026	0.0101250655404658	0.0371078432952122	0.0201476141287328	0.0484502149286194	NA	"abundance"	37	36
"PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III"	"sick"	"SM"	"sickSM"	-0.247612955014889	0.575662398280218	0.290604825582456	0.0102171287688848	0.0372532233573185	0.0102171287688848	0.0278900001529018	NA	"abundance"	37	37
